AreaCode,Area,Year,Series,Value
100,Bulgaria,2015,"Theft at the national level, rate per 100,000 population",535.9
100,Bulgaria,2015,"Robbery at the national level, rate per 100,000 population",27.2
100,Bulgaria,2015,"Total Sexual Violence at the national level, rate per 100,000",8.4
854,Burkina Faso,2005,"Intentional homicide rates per 100,000",0.5
854,Burkina Faso,2010,"Intentional homicide rates per 100,000",0.6
854,Burkina Faso,2015,"Intentional homicide rates per 100,000",0.4
854,Burkina Faso,2015,"Percentage of male and female intentional homicide victims, Male",0.6
854,Burkina Faso,2015,"Percentage of male and female intentional homicide victims, Female",0.2
108,Burundi,2010,"Intentional homicide rates per 100,000",4
108,Burundi,2010,"Assault rate per 100,000 population",3.2
108,Burundi,2010,"Kidnapping at the national level, rate per 100,000",0.3
108,Burundi,2010,"Robbery at the national level, rate per 100,000 population",32.1
108,Burundi,2010,"Total Sexual Violence at the national level, rate per 100,000",7.4
108,Burundi,2014,"Intentional homicide rates per 100,000",5.7
108,Burundi,2014,"Percentage of male and female intentional homicide victims, Male",9.5
108,Burundi,2014,"Percentage of male and female intentional homicide victims, Female",2
108,Burundi,2014,"Assault rate per 100,000 population",5.1
108,Burundi,2014,"Kidnapping at the national level, rate per 100,000",0.7
108,Burundi,2014,"Theft at the national level, rate per 100,000 population",7.5
108,Burundi,2014,"Robbery at the national level, rate per 100,000 population",41.6
108,Burundi,2014,"Total Sexual Violence at the national level, rate per 100,000",11.7
108,Burundi,2015,"Intentional homicide rates per 100,000",4.5
108,Burundi,2015,"Percentage of male and female intentional homicide victims, Male",7.6
108,Burundi,2015,"Percentage of male and female intentional homicide victims, Female",1.5
132,Cabo Verde,2005,"Intentional homicide rates per 100,000",9.3
132,Cabo Verde,2010,"Intentional homicide rates per 100,000",7.8
132,Cabo Verde,2010,"Assault rate per 100,000 population",834.1
132,Cabo Verde,2010,"Kidnapping at the national level, rate per 100,000",1.2
132,Cabo Verde,2010,"Theft at the national level, rate per 100,000 population",764.9
132,Cabo Verde,2010,"Robbery at the national level, rate per 100,000 population",626.9
132,Cabo Verde,2010,"Total Sexual Violence at the national level, rate per 100,000",41.4
132,Cabo Verde,2015,"Intentional homicide rates per 100,000",8.6
132,Cabo Verde,2015,"Percentage of male and female intentional homicide victims, Male",14.7
132,Cabo Verde,2015,"Percentage of male and female intentional homicide victims, Female",2.6
132,Cabo Verde,2015,"Assault rate per 100,000 population",807.9
132,Cabo Verde,2015,"Kidnapping at the national level, rate per 100,000",1
132,Cabo Verde,2015,"Theft at the national level, rate per 100,000 population",799.4
132,Cabo Verde,2015,"Robbery at the national level, rate per 100,000 population","1,051.30"
132,Cabo Verde,2015,"Total Sexual Violence at the national level, rate per 100,000",42.3
116,Cambodia,2005,"Intentional homicide rates per 100,000",3.4
116,Cambodia,2010,"Intentional homicide rates per 100,000",2.3
116,Cambodia,2011,"Intentional homicide rates per 100,000",1.8
116,Cambodia,2011,"Percentage of male and female intentional homicide victims, Male",3.2
116,Cambodia,2011,"Percentage of male and female intentional homicide victims, Female",0.6
120,Cameroon,2003,"Intentional homicide rates per 100,000",6.1
120,Cameroon,2003,"Assault rate per 100,000 population",17.4
120,Cameroon,2003,"Theft at the national level, rate per 100,000 population",68.8
120,Cameroon,2005,"Assault rate per 100,000 population",17.3
120,Cameroon,2005,"Theft at the national level, rate per 100,000 population",66.3
120,Cameroon,2010,"Intentional homicide rates per 100,000",5
120,Cameroon,2010,"Assault rate per 100,000 population",23.9
120,Cameroon,2010,"Kidnapping at the national level, rate per 100,000",2.2
120,Cameroon,2010,"Theft at the national level, rate per 100,000 population",79.7
120,Cameroon,2010,"Robbery at the national level, rate per 100,000 population",79.7
120,Cameroon,2010,"Total Sexual Violence at the national level, rate per 100,000",10
120,Cameroon,2012,"Intentional homicide rates per 100,000",4.2
120,Cameroon,2012,"Percentage of male and female intentional homicide victims, Male",6.8
120,Cameroon,2012,"Percentage of male and female intentional homicide victims, Female",1.5
120,Cameroon,2012,"Assault rate per 100,000 population",26.6
120,Cameroon,2012,"Kidnapping at the national level, rate per 100,000",2.5
120,Cameroon,2012,"Theft at the national level, rate per 100,000 population",72.7
120,Cameroon,2012,"Robbery at the national level, rate per 100,000 population",72.7
120,Cameroon,2012,"Total Sexual Violence at the national level, rate per 100,000",9.2
120,Cameroon,2014,"Assault rate per 100,000 population",31.5
120,Cameroon,2014,"Kidnapping at the national level, rate per 100,000",3.3
120,Cameroon,2014,"Theft at the national level, rate per 100,000 population",111
120,Cameroon,2014,"Robbery at the national level, rate per 100,000 population",111
120,Cameroon,2014,"Total Sexual Violence at the national level, rate per 100,000",3.1
120,Cameroon,2015,"Assault rate per 100,000 population",20.6
120,Cameroon,2015,"Kidnapping at the national level, rate per 100,000",4.2
120,Cameroon,2015,"Theft at the national level, rate per 100,000 population",69.8
120,Cameroon,2015,"Robbery at the national level, rate per 100,000 population",69.8
124,Canada,2005,"Intentional homicide rates per 100,000",2.1
124,Canada,2005,"Percentage of male and female intentional homicide victims, Male",3
124,Canada,2005,"Percentage of male and female intentional homicide victims, Female",1.1
124,Canada,2005,"Assault rate per 100,000 population",165.7
124,Canada,2005,"Kidnapping at the national level, rate per 100,000",12.1
124,Canada,2005,"Theft at the national level, rate per 100,000 population","2,033.40"
124,Canada,2005,"Robbery at the national level, rate per 100,000 population",100.6
124,Canada,2005,"Total Sexual Violence at the national level, rate per 100,000",81.7
124,Canada,2010,"Intentional homicide rates per 100,000",1.6
124,Canada,2010,"Percentage of male and female intentional homicide victims, Male",2.4
124,Canada,2010,"Percentage of male and female intentional homicide victims, Female",0.9
124,Canada,2010,"Assault rate per 100,000 population",162.4
124,Canada,2010,"Kidnapping at the national level, rate per 100,000",12.6
124,Canada,2010,"Theft at the national level, rate per 100,000 population","1,594.80"
124,Canada,2010,"Robbery at the national level, rate per 100,000 population",89.3
124,Canada,2010,"Total Sexual Violence at the national level, rate per 100,000",78.8
124,Canada,2015,"Intentional homicide rates per 100,000",1.7
124,Canada,2015,"Percentage of male and female intentional homicide victims, Male",2.4
124,Canada,2015,"Percentage of male and female intentional homicide victims, Female",1
124,Canada,2015,"Assault rate per 100,000 population",140.3
124,Canada,2015,"Kidnapping at the national level, rate per 100,000",9.9
124,Canada,2015,"Theft at the national level, rate per 100,000 population","1,402.70"
124,Canada,2015,"Robbery at the national level, rate per 100,000 population",61.4
124,Canada,2015,"Total Sexual Violence at the national level, rate per 100,000",76
136,Cayman Islands,2005,"Intentional homicide rates per 100,000",6.2
136,Cayman Islands,2010,"Intentional homicide rates per 100,000",16.2
136,Cayman Islands,2014,"Intentional homicide rates per 100,000",8.4
148,Chad,2005,"Intentional homicide rates per 100,000",10.7
148,Chad,2010,"Intentional homicide rates per 100,000",9.7
148,Chad,2015,"Intentional homicide rates per 100,000",9
148,Chad,2015,"Percentage of male and female intentional homicide victims, Male",14.4
148,Chad,2015,"Percentage of male and female intentional homicide victims, Female",3.6
830,Channel Islands,2005,"Intentional homicide rates per 100,000",0.6
830,Channel Islands,2010,"Intentional homicide rates per 100,000",0
152,Chile,2005,"Intentional homicide rates per 100,000",3.6
152,Chile,2005,"Percentage of male and female intentional homicide victims, Male",6.2
152,Chile,2005,"Percentage of male and female intentional homicide victims, Female",1
152,Chile,2005,"Kidnapping at the national level, rate per 100,000",0.9
152,Chile,2005,"Theft at the national level, rate per 100,000 population",964.6
152,Chile,2005,"Robbery at the national level, rate per 100,000 population",403
152,Chile,2010,"Intentional homicide rates per 100,000",3.2
152,Chile,2010,"Percentage of male and female intentional homicide victims, Male",5.3
152,Chile,2010,"Percentage of male and female intentional homicide victims, Female",1.1
152,Chile,2010,"Assault rate per 100,000 population",130.8
152,Chile,2010,"Kidnapping at the national level, rate per 100,000",1.5
152,Chile,2010,"Theft at the national level, rate per 100,000 population","1,098.90"
152,Chile,2010,"Robbery at the national level, rate per 100,000 population",480
152,Chile,2010,"Total Sexual Violence at the national level, rate per 100,000",76.5
152,Chile,2015,"Intentional homicide rates per 100,000",3
152,Chile,2015,"Percentage of male and female intentional homicide victims, Male",5.3
152,Chile,2015,"Percentage of male and female intentional homicide victims, Female",0.7
152,Chile,2015,"Assault rate per 100,000 population",89
152,Chile,2015,"Kidnapping at the national level, rate per 100,000",1.5
152,Chile,2015,"Theft at the national level, rate per 100,000 population","1,025.60"
152,Chile,2015,"Robbery at the national level, rate per 100,000 population",593.2
152,Chile,2015,"Total Sexual Violence at the national level, rate per 100,000",65.6
156,China,2005,"Intentional homicide rates per 100,000",1.6
156,China,2010,"Intentional homicide rates per 100,000",1
156,China,2014,"Intentional homicide rates per 100,000",0.7
156,China,2014,"Percentage of male and female intentional homicide victims, Male",0.9
156,China,2014,"Percentage of male and female intentional homicide victims, Female",0.5
156,China,2015,"Intentional homicide rates per 100,000",0.7
344,"China, Hong Kong SAR",2004,"Intentional homicide rates per 100,000",0.7
344,"China, Hong Kong SAR",2004,"Percentage of male and female intentional homicide victims, Male",0.8
344,"China, Hong Kong SAR",2004,"Percentage of male and female intentional homicide victims, Female",0.6
344,"China, Hong Kong SAR",2004,"Assault rate per 100,000 population",114.2
344,"China, Hong Kong SAR",2004,"Kidnapping at the national level, rate per 100,000",0
344,"China, Hong Kong SAR",2004,"Theft at the national level, rate per 100,000 population",548.1
344,"China, Hong Kong SAR",2004,"Robbery at the national level, rate per 100,000 population",32.7
344,"China, Hong Kong SAR",2004,"Total Sexual Violence at the national level, rate per 100,000",20.4
344,"China, Hong Kong SAR",2005,"Intentional homicide rates per 100,000",0.5
344,"China, Hong Kong SAR",2005,"Percentage of male and female intentional homicide victims, Male",0.6
344,"China, Hong Kong SAR",2005,"Percentage of male and female intentional homicide victims, Female",0.4
344,"China, Hong Kong SAR",2005,"Assault rate per 100,000 population",118.3
344,"China, Hong Kong SAR",2005,"Theft at the national level, rate per 100,000 population",514.6
344,"China, Hong Kong SAR",2005,"Robbery at the national level, rate per 100,000 population",24.5
344,"China, Hong Kong SAR",2005,"Total Sexual Violence at the national level, rate per 100,000",21.3
344,"China, Hong Kong SAR",2010,"Intentional homicide rates per 100,000",0.5
344,"China, Hong Kong SAR",2010,"Percentage of male and female intentional homicide victims, Male",0.5
344,"China, Hong Kong SAR",2010,"Percentage of male and female intentional homicide victims, Female",0.5
344,"China, Hong Kong SAR",2010,"Assault rate per 100,000 population",108.7
344,"China, Hong Kong SAR",2010,"Kidnapping at the national level, rate per 100,000",0
344,"China, Hong Kong SAR",2010,"Theft at the national level, rate per 100,000 population",491.1
344,"China, Hong Kong SAR",2010,"Robbery at the national level, rate per 100,000 population",11.1
344,"China, Hong Kong SAR",2010,"Total Sexual Violence at the national level, rate per 100,000",26.3
344,"China, Hong Kong SAR",2013,"Intentional homicide rates per 100,000",0.9
344,"China, Hong Kong SAR",2013,"Percentage of male and female intentional homicide victims, Male",0.8
344,"China, Hong Kong SAR",2013,"Percentage of male and female intentional homicide victims, Female",1
344,"China, Hong Kong SAR",2013,"Assault rate per 100,000 population",92.5
344,"China, Hong Kong SAR",2013,"Kidnapping at the national level, rate per 100,000",0
344,"China, Hong Kong SAR",2013,"Theft at the national level, rate per 100,000 population",441.1
344,"China, Hong Kong SAR",2013,"Robbery at the national level, rate per 100,000 population",7
344,"China, Hong Kong SAR",2013,"Total Sexual Violence at the national level, rate per 100,000",24.9
344,"China, Hong Kong SAR",2015,"Intentional homicide rates per 100,000",0.3
446,"China, Macao SAR",2005,"Intentional homicide rates per 100,000",0.8
446,"China, Macao SAR",2010,"Intentional homicide rates per 100,000",0.4
446,"China, Macao SAR",2010,"Percentage of male and female intentional homicide victims, Male",0.8
446,"China, Macao SAR",2010,"Percentage of male and female intentional homicide victims, Female",0
446,"China, Macao SAR",2010,"Assault rate per 100,000 population",343.4
446,"China, Macao SAR",2010,"Kidnapping at the national level, rate per 100,000",0.4
446,"China, Macao SAR",2010,"Theft at the national level, rate per 100,000 population",526
446,"China, Macao SAR",2010,"Robbery at the national level, rate per 100,000 population",33.3
446,"China, Macao SAR",2010,"Total Sexual Violence at the national level, rate per 100,000",8.4
446,"China, Macao SAR",2013,"Intentional homicide rates per 100,000",0.2
446,"China, Macao SAR",2013,"Percentage of male and female intentional homicide victims, Male",0
446,"China, Macao SAR",2013,"Percentage of male and female intentional homicide victims, Female",0.3
446,"China, Macao SAR",2013,"Assault rate per 100,000 population",299.3
446,"China, Macao SAR",2013,"Kidnapping at the national level, rate per 100,000",0.2
446,"China, Macao SAR",2013,"Theft at the national level, rate per 100,000 population",529.2
446,"China, Macao SAR",2013,"Robbery at the national level, rate per 100,000 population",26.4
446,"China, Macao SAR",2013,"Total Sexual Violence at the national level, rate per 100,000",9.3
446,"China, Macao SAR",2015,"Intentional homicide rates per 100,000",0.2
446,"China, Macao SAR",2015,"Percentage of male and female intentional homicide victims, Male",0
446,"China, Macao SAR",2015,"Percentage of male and female intentional homicide victims, Female",0.3
446,"China, Macao SAR",2015,"Assault rate per 100,000 population",275.7
446,"China, Macao SAR",2015,"Theft at the national level, rate per 100,000 population",450.5
446,"China, Macao SAR",2015,"Robbery at the national level, rate per 100,000 population",19.2
446,"China, Macao SAR",2015,"Total Sexual Violence at the national level, rate per 100,000",9.7
170,Colombia,2005,"Intentional homicide rates per 100,000",41.8
170,Colombia,2005,"Percentage of male and female intentional homicide victims, Male",77.7
170,Colombia,2005,"Percentage of male and female intentional homicide victims, Female",6.8
170,Colombia,2005,"Assault rate per 100,000 population",70.3
170,Colombia,2005,"Kidnapping at the national level, rate per 100,000",1.9
170,Colombia,2005,"Theft at the national level, rate per 100,000 population",158.8
170,Colombia,2005,"Robbery at the national level, rate per 100,000 population",93.9
170,Colombia,2005,"Total Sexual Violence at the national level, rate per 100,000",10.6
170,Colombia,2010,"Intentional homicide rates per 100,000",33.7
170,Colombia,2010,"Percentage of male and female intentional homicide victims, Male",62.9
170,Colombia,2010,"Percentage of male and female intentional homicide victims, Female",5.3
170,Colombia,2010,"Assault rate per 100,000 population",115.7
170,Colombia,2010,"Kidnapping at the national level, rate per 100,000",0.6
170,Colombia,2010,"Theft at the national level, rate per 100,000 population",200
170,Colombia,2010,"Robbery at the national level, rate per 100,000 population",133.8
170,Colombia,2010,"Total Sexual Violence at the national level, rate per 100,000",14.8
170,Colombia,2015,"Intentional homicide rates per 100,000",26.5
170,Colombia,2015,"Percentage of male and female intentional homicide victims, Male",49.3
170,Colombia,2015,"Percentage of male and female intentional homicide victims, Female",4.4
170,Colombia,2015,"Assault rate per 100,000 population",180.2
170,Colombia,2015,"Kidnapping at the national level, rate per 100,000",0.4
170,Colombia,2015,"Theft at the national level, rate per 100,000 population",300.5
170,Colombia,2015,"Robbery at the national level, rate per 100,000 population",210.1
170,Colombia,2015,"Total Sexual Violence at the national level, rate per 100,000",45.1
174,Comoros,2005,"Intentional homicide rates per 100,000",9.5
174,Comoros,2010,"Intentional homicide rates per 100,000",8.5
174,Comoros,2015,"Intentional homicide rates per 100,000",7.7
174,Comoros,2015,"Percentage of male and female intentional homicide victims, Male",11.6
174,Comoros,2015,"Percentage of male and female intentional homicide victims, Female",3.7
178,Congo,2005,"Intentional homicide rates per 100,000",10.6
178,Congo,2010,"Intentional homicide rates per 100,000",9.9
178,Congo,2015,"Intentional homicide rates per 100,000",9.3
178,Congo,2015,"Percentage of male and female intentional homicide victims, Male",14.1
178,Congo,2015,"Percentage of male and female intentional homicide victims, Female",4.5
184,Cook Islands,2012,"Intentional homicide rates per 100,000",3.5
188,Costa Rica,2005,"Intentional homicide rates per 100,000",7.9
188,Costa Rica,2005,"Percentage of male and female intentional homicide victims, Male",12.9
188,Costa Rica,2005,"Percentage of male and female intentional homicide victims, Female",2.9
188,Costa Rica,2005,"Kidnapping at the national level, rate per 100,000",0.3
188,Costa Rica,2005,"Theft at the national level, rate per 100,000 population",196.8
188,Costa Rica,2005,"Robbery at the national level, rate per 100,000 population",501.1
188,Costa Rica,2010,"Intentional homicide rates per 100,000",11.6
188,Costa Rica,2010,"Percentage of male and female intentional homicide victims, Male",20.5
188,Costa Rica,2010,"Percentage of male and female intentional homicide victims, Female",2.7
188,Costa Rica,2010,"Assault rate per 100,000 population",175
188,Costa Rica,2010,"Kidnapping at the national level, rate per 100,000",0.2
188,Costa Rica,2010,"Theft at the national level, rate per 100,000 population",445.5
188,Costa Rica,2010,"Robbery at the national level, rate per 100,000 population",950.1
188,Costa Rica,2010,"Total Sexual Violence at the national level, rate per 100,000",143.3
188,Costa Rica,2013,"Intentional homicide rates per 100,000",8.7
188,Costa Rica,2013,"Percentage of male and female intentional homicide victims, Male",15.9
188,Costa Rica,2013,"Percentage of male and female intentional homicide victims, Female",1.5
188,Costa Rica,2013,"Assault rate per 100,000 population",174.7
188,Costa Rica,2013,"Kidnapping at the national level, rate per 100,000",0.1
188,Costa Rica,2013,"Theft at the national level, rate per 100,000 population",696.6
188,Costa Rica,2013,"Robbery at the national level, rate per 100,000 population","1,018.90"
188,Costa Rica,2013,"Total Sexual Violence at the national level, rate per 100,000",154.7
188,Costa Rica,2014,"Intentional homicide rates per 100,000",10
188,Costa Rica,2014,"Percentage of male and female intentional homicide victims, Male",17.9
188,Costa Rica,2014,"Percentage of male and female intentional homicide victims, Female",2.1
188,Costa Rica,2014,"Kidnapping at the national level, rate per 100,000",0.1
188,Costa Rica,2014,"Robbery at the national level, rate per 100,000 population","1,095.60"
188,Costa Rica,2015,"Intentional homicide rates per 100,000",11.6
384,Côte d’Ivoire,2005,"Intentional homicide rates per 100,000",14.7
384,Côte d’Ivoire,2008,"Assault rate per 100,000 population",52.6
384,Côte d’Ivoire,2008,"Robbery at the national level, rate per 100,000 population",3.1
384,Côte d’Ivoire,2008,"Total Sexual Violence at the national level, rate per 100,000",3.7
384,Côte d’Ivoire,2010,"Intentional homicide rates per 100,000",12.6
384,Côte d’Ivoire,2015,"Intentional homicide rates per 100,000",11.6
384,Côte d’Ivoire,2015,"Percentage of male and female intentional homicide victims, Male",15.6
384,Côte d’Ivoire,2015,"Percentage of male and female intentional homicide victims, Female",7.5
191,Croatia,2005,"Intentional homicide rates per 100,000",1.6
191,Croatia,2005,"Percentage of male and female intentional homicide victims, Male",1.9
191,Croatia,2005,"Percentage of male and female intentional homicide victims, Female",1.2
191,Croatia,2005,"Assault rate per 100,000 population",26.3
191,Croatia,2005,"Kidnapping at the national level, rate per 100,000",0.5
191,Croatia,2005,"Theft at the national level, rate per 100,000 population",694.3
191,Croatia,2005,"Robbery at the national level, rate per 100,000 population",35.6
191,Croatia,2005,"Total Sexual Violence at the national level, rate per 100,000",14.2
191,Croatia,2010,"Intentional homicide rates per 100,000",1.4
191,Croatia,2010,"Percentage of male and female intentional homicide victims, Male",1.4
191,Croatia,2010,"Percentage of male and female intentional homicide victims, Female",1.4
191,Croatia,2010,"Assault rate per 100,000 population",22.8
191,Croatia,2010,"Kidnapping at the national level, rate per 100,000",0.3
191,Croatia,2010,"Theft at the national level, rate per 100,000 population",314.5
191,Croatia,2010,"Robbery at the national level, rate per 100,000 population",28.8
191,Croatia,2010,"Total Sexual Violence at the national level, rate per 100,000",9.2
191,Croatia,2014,"Intentional homicide rates per 100,000",0.8
191,Croatia,2014,"Percentage of male and female intentional homicide victims, Male",0.9
191,Croatia,2014,"Percentage of male and female intentional homicide victims, Female",0.8
191,Croatia,2014,"Assault rate per 100,000 population",18
191,Croatia,2014,"Kidnapping at the national level, rate per 100,000",0
191,Croatia,2014,"Theft at the national level, rate per 100,000 population",283
191,Croatia,2014,"Robbery at the national level, rate per 100,000 population",29.8
191,Croatia,2014,"Total Sexual Violence at the national level, rate per 100,000",14.2
191,Croatia,2015,"Intentional homicide rates per 100,000",0.9
191,Croatia,2015,"Percentage of male and female intentional homicide victims, Male",1.1
191,Croatia,2015,"Percentage of male and female intentional homicide victims, Female",0.7
191,Croatia,2015,"Assault rate per 100,000 population",19
191,Croatia,2015,"Theft at the national level, rate per 100,000 population",319.5
191,Croatia,2015,"Robbery at the national level, rate per 100,000 population",30.9
191,Croatia,2015,"Total Sexual Violence at the national level, rate per 100,000",14.3
192,Cuba,2005,"Intentional homicide rates per 100,000",6.1
192,Cuba,2005,"Percentage of male and female intentional homicide victims, Male",9.1
192,Cuba,2005,"Percentage of male and female intentional homicide victims, Female",3
192,Cuba,2010,"Intentional homicide rates per 100,000",4.5
192,Cuba,2010,"Percentage of male and female intentional homicide victims, Male",6.7
192,Cuba,2010,"Percentage of male and female intentional homicide victims, Female",2.2
192,Cuba,2015,"Intentional homicide rates per 100,000",5.4
192,Cuba,2015,"Percentage of male and female intentional homicide victims, Male",8.4
192,Cuba,2015,"Percentage of male and female intentional homicide victims, Female",2.4
531,Curaçao,2005,"Intentional homicide rates per 100,000",20.1
531,Curaçao,2005,"Percentage of male and female intentional homicide victims, Male",33
531,Curaçao,2005,"Percentage of male and female intentional homicide victims, Female",8.7
531,Curaçao,2007,"Intentional homicide rates per 100,000",19.2
531,Curaçao,2007,"Percentage of male and female intentional homicide victims, Male",36.5
531,Curaçao,2007,"Percentage of male and female intentional homicide victims, Female",4.1
196,Cyprus,2005,"Intentional homicide rates per 100,000",1.9
196,Cyprus,2005,"Percentage of male and female intentional homicide victims, Male",3.5
196,Cyprus,2005,"Percentage of male and female intentional homicide victims, Female",0.4
196,Cyprus,2005,"Assault rate per 100,000 population",12.8
196,Cyprus,2005,"Kidnapping at the national level, rate per 100,000",1.6
196,Cyprus,2005,"Theft at the national level, rate per 100,000 population",116.3
196,Cyprus,2005,"Robbery at the national level, rate per 100,000 population",8.1
196,Cyprus,2005,"Total Sexual Violence at the national level, rate per 100,000",10.9
196,Cyprus,2010,"Intentional homicide rates per 100,000",0.7
196,Cyprus,2010,"Percentage of male and female intentional homicide victims, Male",1.3
196,Cyprus,2010,"Percentage of male and female intentional homicide victims, Female",0.2
196,Cyprus,2010,"Assault rate per 100,000 population",15.7
196,Cyprus,2010,"Kidnapping at the national level, rate per 100,000",2.5
196,Cyprus,2010,"Theft at the national level, rate per 100,000 population",151.3
196,Cyprus,2010,"Robbery at the national level, rate per 100,000 population",14.1
196,Cyprus,2010,"Total Sexual Violence at the national level, rate per 100,000",7.2
196,Cyprus,2015,"Intentional homicide rates per 100,000",1.3
196,Cyprus,2015,"Percentage of male and female intentional homicide victims, Male",2.2
196,Cyprus,2015,"Percentage of male and female intentional homicide victims, Female",0.3
196,Cyprus,2015,"Assault rate per 100,000 population",12.1
196,Cyprus,2015,"Kidnapping at the national level, rate per 100,000",2.1
196,Cyprus,2015,"Theft at the national level, rate per 100,000 population",78.8
196,Cyprus,2015,"Robbery at the national level, rate per 100,000 population",8
196,Cyprus,2015,"Total Sexual Violence at the national level, rate per 100,000",8.6
203,Czechia,2005,"Intentional homicide rates per 100,000",1.1
203,Czechia,2005,"Percentage of male and female intentional homicide victims, Male",1.3
203,Czechia,2005,"Percentage of male and female intentional homicide victims, Female",0.9
203,Czechia,2005,"Assault rate per 100,000 population",212
203,Czechia,2005,"Kidnapping at the national level, rate per 100,000",0.1
203,Czechia,2005,"Theft at the national level, rate per 100,000 population","1,506.50"
203,Czechia,2005,"Robbery at the national level, rate per 100,000 population",54.3
203,Czechia,2005,"Total Sexual Violence at the national level, rate per 100,000",18.1
203,Czechia,2010,"Intentional homicide rates per 100,000",1
203,Czechia,2010,"Percentage of male and female intentional homicide victims, Male",1
203,Czechia,2010,"Percentage of male and female intentional homicide victims, Female",1
203,Czechia,2010,"Assault rate per 100,000 population",172
203,Czechia,2010,"Kidnapping at the national level, rate per 100,000",0.1
203,Czechia,2010,"Theft at the national level, rate per 100,000 population","1,202.20"
203,Czechia,2010,"Robbery at the national level, rate per 100,000 population",38.3
203,Czechia,2010,"Total Sexual Violence at the national level, rate per 100,000",12.7
203,Czechia,2015,"Intentional homicide rates per 100,000",0.8
203,Czechia,2015,"Percentage of male and female intentional homicide victims, Male",0.7
203,Czechia,2015,"Percentage of male and female intentional homicide victims, Female",0.9
203,Czechia,2015,"Assault rate per 100,000 population",148.6
203,Czechia,2015,"Kidnapping at the national level, rate per 100,000",0
203,Czechia,2015,"Theft at the national level, rate per 100,000 population","1,319.30"
203,Czechia,2015,"Robbery at the national level, rate per 100,000 population",19.2
203,Czechia,2015,"Total Sexual Violence at the national level, rate per 100,000",13.5
408,Dem. People's Rep. Korea,2005,"Intentional homicide rates per 100,000",5
408,Dem. People's Rep. Korea,2010,"Intentional homicide rates per 100,000",4.8
408,Dem. People's Rep. Korea,2015,"Intentional homicide rates per 100,000",4.4
180,Dem. Rep. of the Congo,2005,"Intentional homicide rates per 100,000",14.6
180,Dem. Rep. of the Congo,2010,"Intentional homicide rates per 100,000",14.3
180,Dem. Rep. of the Congo,2015,"Intentional homicide rates per 100,000",13.5
180,Dem. Rep. of the Congo,2015,"Percentage of male and female intentional homicide victims, Male",22
180,Dem. Rep. of the Congo,2015,"Percentage of male and female intentional homicide victims, Female",5.1
208,Denmark,2005,"Intentional homicide rates per 100,000",1
208,Denmark,2005,"Percentage of male and female intentional homicide victims, Male",1.4
208,Denmark,2005,"Percentage of male and female intentional homicide victims, Female",0.6
208,Denmark,2005,"Assault rate per 100,000 population",205.2
208,Denmark,2005,"Theft at the national level, rate per 100,000 population","3,103.20"
208,Denmark,2005,"Robbery at the national level, rate per 100,000 population",53.9
208,Denmark,2010,"Intentional homicide rates per 100,000",0.8
208,Denmark,2010,"Percentage of male and female intentional homicide victims, Male",0.7
208,Denmark,2010,"Percentage of male and female intentional homicide victims, Female",0.8
208,Denmark,2010,"Assault rate per 100,000 population",31.6
208,Denmark,2010,"Theft at the national level, rate per 100,000 population","4,354.30"
208,Denmark,2010,"Robbery at the national level, rate per 100,000 population",60.8
208,Denmark,2010,"Total Sexual Violence at the national level, rate per 100,000",36.2
208,Denmark,2015,"Intentional homicide rates per 100,000",1
208,Denmark,2015,"Percentage of male and female intentional homicide victims, Male",1.2
208,Denmark,2015,"Percentage of male and female intentional homicide victims, Female",0.8
208,Denmark,2015,"Assault rate per 100,000 population",25.8
208,Denmark,2015,"Theft at the national level, rate per 100,000 population","3,430.50"
208,Denmark,2015,"Robbery at the national level, rate per 100,000 population",35.9
208,Denmark,2015,"Total Sexual Violence at the national level, rate per 100,000",38.4
262,Djibouti,2005,"Intentional homicide rates per 100,000",8.1
262,Djibouti,2010,"Intentional homicide rates per 100,000",7.4
262,Djibouti,2015,"Intentional homicide rates per 100,000",6.5
262,Djibouti,2015,"Percentage of male and female intentional homicide victims, Male",10.6
262,Djibouti,2015,"Percentage of male and female intentional homicide victims, Female",2.3
212,Dominica,2005,"Intentional homicide rates per 100,000",11.3
212,Dominica,2010,"Intentional homicide rates per 100,000",21
212,Dominica,2011,"Intentional homicide rates per 100,000",8.4
214,Dominican Republic,2005,"Intentional homicide rates per 100,000",25.9
214,Dominican Republic,2005,"Percentage of male and female intentional homicide victims, Male",47.2
214,Dominican Republic,2005,"Percentage of male and female intentional homicide victims, Female",4.6
214,Dominican Republic,2005,"Kidnapping at the national level, rate per 100,000",0.2
214,Dominican Republic,2006,"Intentional homicide rates per 100,000",22.9
214,Dominican Republic,2006,"Percentage of male and female intentional homicide victims, Male",41.9
214,Dominican Republic,2006,"Percentage of male and female intentional homicide victims, Female",3.8
214,Dominican Republic,2006,"Kidnapping at the national level, rate per 100,000",0.2
214,Dominican Republic,2010,"Intentional homicide rates per 100,000",25
214,Dominican Republic,2010,"Percentage of male and female intentional homicide victims, Male",45.8
214,Dominican Republic,2010,"Percentage of male and female intentional homicide victims, Female",4.2
214,Dominican Republic,2014,"Intentional homicide rates per 100,000",17.4
214,Dominican Republic,2014,"Percentage of male and female intentional homicide victims, Male",31.3
214,Dominican Republic,2014,"Percentage of male and female intentional homicide victims, Female",3.6
214,Dominican Republic,2014,"Assault rate per 100,000 population",48.3
