F01,F02,F03,F04,T
4,1.5,910,2020,1
3,1,0,1140,1
4,1,0,1560,1
3,2,0,1740,1
3,1,500,2250,1
4,1,460,1860,1
5,1,990,1420,1
4,1,860,2000,1
4,2,0,2150,1
3,2,0,2530,1
5,2,0,1480,1
4,1,0,1970,1
4,2,720,1280,1
4,3,0,1360,1
1,1,110,2160,0
3,2,0,1820,1
3,1,460,2490,1
2,1,0,1620,0
4,1,1690,2390,1
5,2,0,2150,1
3,1,740,1900,1
2,1,0,1190,0
3,2,0,2650,1
4,1,900,2190,1
4,2,0,2030,1
6,1.5,480,1630,1
4,2,0,2650,1
4,2,1070,2540,1
2,2,0,1020,0
3,2,0,3280,1
2,1,400,1580,0
2,1,0,1710,0
5,2,0,1060,1
2,1,0,1490,0
2,1,0,1300,0
3,1,300,1510,1
3,1,300,1510,1
4,1.5,0,1610,1
2,1,220,1510,0
3,1,260,1570,1
4,1,0,1890,1
4,1,180,1910,1
4,1,0,2220,1
3,1.5,0,2420,1
3,1,120,1410,1
3,1,500,2060,1
5,1,1500,2050,1
3,1.5,0,1280,1
3,1,620,2320,1
4,2,0,2740,1
3,1,0,1050,1
4,1.5,0,1160,1
2,1,0,900,0
4,1,1300,1930,1
3,2,0,2180,1
3,1,0,2350,1
4,1.5,530,1740,1
3,1.5,0,1850,1
3,1,720,1470,1
3,1,0,1430,1
6,1,1010,2020,1
4,1,420,2530,1
4,1,900,2060,1
5,2,0,2200,1
5,1.5,1290,1780,1
3,1,0,1640,1
3,2,0,1650,1
3,1,0,1360,1
3,1,0,1270,1
4,2,0,3100,1
3,1,0,1170,1
3,2,0,2370,1
5,1,700,2000,1
1,1,0,2160,0
3,1,0,1260,1
2,1,0,930,0
4,2,0,3880,1
3,1,0,1060,1
4,2,930,3130,1
3,2,120,1360,1
4,2,0,3600,1
3,1,550,1960,1
3,2,0,1780,1
3,1.5,0,3180,1
5,2,0,3450,1
5,1,1470,1580,1
3,1,0,1600,1
3,1,0,2970,1
3,1,1130,1500,1
2,1,160,1280,0
5,1.5,1030,1780,1
4,1,960,1910,1
2,1,0,1350,0
3,1,0,2960,1
4,1,910,1560,1
3,1,0,1420,1
3,2,0,2680,1
3,1,0,2660,1
3,1,0,2030,1
4,1.5,0,1280,1
4,1,0,2130,1
3,1,0,1250,1
3,1,250,850,1
3,1,0,1320,1
3,1,0,940,1
4,1,0,2090,1
3,1.5,840,1400,1
3,1,500,1980,1
3,1,590,1790,1
3,1.5,500,1840,1
4,1,820,2080,1
4,2,0,1550,1
3,1,0,1550,1
4,1,850,2340,1
4,2,0,1550,1
3,2,240,1400,1
3,1,0,1300,1
2,1,0,1560,0
3,2,320,1170,1
3,1,0,1540,1
4,2.5,0,4110,1
4,1,940,2370,1
3,1,0,1680,1
3,3,0,1590,1
3,1,0,1630,1
4,1,0,1600,1
4,1.5,0,1910,1
3,1,0,1660,1
2,1,0,1740,0
2,1,0,1460,0
4,2,450,2100,1
3,1,0,1500,1
6,1,1320,2190,1
7,1.5,0,2310,1
3,2,0,2300,1
3,1,0,2260,1
3,3,0,1590,1
6,2,920,3180,1
5,2,0,3960,1
4,1,1060,2850,1
2,1,400,1200,0
4,2,1070,1220,1
3,2,0,2580,1
4,2,0,2090,1
3,1,1030,2140,1
4,1,1060,3470,1
4,2,0,3100,1
4,1.5,460,3710,1
3,1,100,1540,1
2,1,0,1780,0
3,2,0,2080,1
3,1,0,1810,1
2,2,0,1310,0
3,2,0,2570,1
3,1,570,3020,1
3,1,0,2440,1
4,1.5,810,2150,1
6,1,1570,2320,1
3,1,0,2190,1
4,2,0,2050,1
5,2,0,2470,1
3,3,270,1550,1
3,1,660,1610,1
3,3,200,1610,1
4,2,0,2190,1
2,1,0,1520,0
5,1.5,860,2200,1
3,1,0,1616,1
3,1.5,980,1790,1
3,1.5,980,1790,1
3,1,0,1440,1
3,1,590,1950,1
3,1,0,1250,1
4,2,0,3520,1
3,1,1200,1660,1
4,2,1400,2370,1
5,1,860,1820,1
3,1,1160,1800,1
5,2,0,2110,1
2,1,0,1490,0
2,1,0,1170,0
4,1.5,700,3300,1
3,1,400,1200,1
3,2,0,720,1
5,1.5,0,1440,1
4,2,0,3280,1
3,1,0,1160,1
4,2,0,2770,1
6,1,1590,2670,1
5,2,0,3430,1
3,2,0,1920,1
3,2,0,2090,1
3,1,0,1830,1
5,2,0,3480,1
4,2,0,1660,1
4,1,840,1890,1
3,3,0,1720,1
3,1,0,1500,1
3,1,0,1500,1
3,1,1250,2230,1
3,1,0,1660,1
4,1,150,1840,1
3,1,1000,2390,1
4,1.5,920,2430,1
3,1,430,2060,1
3,1.5,0,1300,1
3,1.5,0,1300,1
4,1,1120,2980,1
2,1,0,800,0
4,2,0,2110,1
4,1,1100,2290,1
3,1,1200,1670,1
2,1,0,1640,0
4,2,0,1830,1
3,1,0,1320,1
3,2,380,1600,1
4,1,980,1930,1
1,1,0,970,0
4,1,380,1150,1
4,1,1250,2140,1
2,1,0,1460,0
5,1,1070,1980,1
3,1.5,0,2700,1
5,2,0,2250,1
4,2,0,3450,1
4,2,1650,3930,1
3,2,0,2090,1
4,1,1120,2270,1
2,1,0,1680,0
2,1,120,1700,0
4,1.5,0,2270,1
2,1,0,1310,0
3,1,0,1350,1
5,2,800,3380,1
4,2,0,3640,1
4,1.5,920,1630,1
3,3,0,1980,1
3,1,0,1750,1
5,2,0,3260,1
2,1,0,2315,0
3,1,0,1564,1
2,1.5,704,1110,0
4,1,520,1470,1
4,1,960,1040,1
3,1,470,2050,1
3,1,0,2100,1
2,1.5,0,1600,0
4,1.5,990,2070,1
3,1.5,0,1060,1
1,1,0,1520,0
2,3,0,1280,0
2,1,440,2450,0
2,1,0,1240,0
4,1,1500,2500,1
3,1,1110,1450,1
5,1,1250,2020,1
3,2,180,1220,1
4,1,950,2750,1
4,1,1510,2740,1
3,1,440,1830,1
3,2,0,2020,1
4,2,0,3010,1
3,1.5,0,2080,1
3,1,0,1540,1
3,1,0,2180,1
4,1.5,1020,2880,1
3,1,1910,2760,1
3,1,0,1630,1
4,2,0,2470,1
3,2,490,1260,1
3,1,400,1470,1
3,2.5,0,1480,1
4,2,0,2340,1
4,2,540,3430,1
3,1,0,1330,1
3,1,700,1690,1
3,2,600,2610,1
4,1,0,1680,1
3,1,700,1590,1
4,2,0,2640,1
5,1,1030,1740,1
4,2.5,0,2440,1
3,1,0,1260,1
5,1,1630,4170,1
4,2,0,1670,1
4,1,0,1490,1
1,1,400,1360,0
3,1,600,1800,1
3,1.5,0,1160,1
3,1,0,1470,1
3,1,0,1520,1
3,1,0,1520,1
3,1,0,2020,1
3,1,0,1750,1
3,1.5,0,1610,1
3,3,320,1520,1
3,1,1240,2650,1
2,1,0,1420,0
3,2,0,3080,1
4,2,0,2767,1
3,2,790,2620,1
5,2,0,2160,1
2,1,200,1110,0
4,1.5,0,3721,1
5,1,910,2650,1
3,1,480,1990,1
3,1,960,1660,1
2,1,0,1620,0
5,1.5,0,1750,1
3,1.5,520,2720,1
3,2,160,1580,1
4,1,810,1930,1
2,2,0,1010,0
3,1,650,2400,1
4,1,1100,2010,1
3,2,260,3070,1
4,2,220,3240,1
3,1,430,1740,1
4,2,290,2440,1
2,1,0,1350,0
3,2,0,1380,1
4,2,0,1710,1
4,2,0,2640,1
3,1.5,0,1260,1
4,2,840,2320,1
3,1,0,1690,1
5,2,2360,3930,1
3,1,500,1470,1
4,1,1110,1600,1
3,1,0,1830,1
4,1.5,0,1700,1
2,1.5,0,1280,0
2,2,990,2360,0
4,2,0,4650,1
2,1,0,1365,0
3,1,0,2100,1
4,2.5,880,2800,1
6,2,540,2380,1
3,2,0,3010,1
3,1,320,1640,1
3,1,0,4020,1
3,1,490,2060,1
3,1,480,1320,1
4,2,200,2240,1
4,1.5,0,1360,1
3,1,770,1710,1
3,1,1852,2850,1
4,2,0,1500,1
6,1,0,1750,1
3,1,600,1800,1
2,1,0,1480,0
2,1,0,1280,0
3,1,500,1200,1
3,2,0,1610,1
3,2,0,1990,1
3,2,0,1530,1
3,1,530,1950,1
3,1,450,1610,1
3,1,420,2670,1
3,1.5,0,1120,1
3,1,0,1570,1
4,2,0,2290,1
4,2,350,2520,1
4,2,350,2520,1
3,2,0,1440,1
3,2,0,2330,1
4,1,2090,2650,1
3,1,0,1490,1
4,2,0,3150,1
5,2,1020,3260,1
4,1,600,2840,1
4,1,820,2740,1
2,1,660,1570,0
4,1,840,1430,1
4,2,0,2820,1
4,1,750,1480,1
4,2,0,1780,1
3,1.5,810,1870,1
5,1,670,2080,1
4,2,0,2620,1
2,2,270,1410,0
3,1,1310,2240,1
2,1,0,1170,0
3,1,400,2630,1
4,1,0,2640,1
4,1,0,1630,1
3,1.5,400,2440,1
2,1,0,2150,0
3,2,0,2000,1
3,2,0,1470,1
3,2,0,2710,1
3,1,0,1300,1
4,1.5,300,1760,1
4,1,850,2420,1
3,1,200,1750,1
5,2,0,3210,1
1,1,0,1040,0
3,1,0,2090,1
3,1,370,2070,1
1,1,0,780,0
3,2,510,1500,1
4,2,890,2500,1
4,2,0,3920,1
3,2,0,2100,1
4,1,800,1728,1
4,2,0,2800,1
4,1,960,1740,1
3,1,0,1470,1
4,1,1170,2730,1
4,1.5,460,1950,1
3,1.5,0,1410,1
3,1,0,1310,1
2,1,0,1150,0
3,2,900,2970,1
5,1.5,1230,1920,1
4,1,0,1240,1
3,2,0,1570,1
3,1,0,2030,1
3,1,740,1560,1
2,1,0,2270,0
3,1,450,1530,1
2,1,0,1670,0
4,1,920,1800,1
3,1,450,1570,1
3,1,0,1540,1
3,1.5,0,3000,1
3,1,770,1290,1
3,2,700,2490,1
3,1,0,1160,1
3,2,0,3240,1
4,1.5,0,2027,1
3,1,660,2070,1
2,1,0,1520,0
5,2,0,2310,1
3,1.5,450,1440,1
4,2,0,3900,1
7,2,2400,2810,1
3,2,0,2360,1
3,1,0,1360,1
4,1,0,2500,1
3,2,1170,3130,1
2,1.5,0,1470,0
3,2,250,1490,1
3,1,620,1500,1
5,2,1480,4470,1
3,1,1040,1230,1
3,3,0,1780,1
8,2,0,2050,1
4,2,880,2010,1
3,1,1040,1870,1
4,1.5,0,1140,1
3,3,0,1380,1
3,2,0,2170,1
4,1,620,2060,1
3,1,0,2010,1
3,2,0,1220,1
3,1,0,1540,1
4,1.5,0,1710,1
3,2,0,1264,1
4,1,600,1980,1
3,2,0,1530,1
3,2,850,1800,1
3,1,0,1820,1
3,1,0,1520,1
4,1,0,1730,1
2,1,0,1840,0
3,1.5,0,2070,1
2,1,240,2460,0
2,1,350,1510,0
4,2,0,2640,1
3,1,0,1470,1
3,1,0,1120,1
4,1,850,1570,1
3,2,0,2860,1
3,1,0,1170,1
4,2,0,2260,1
3,2,0,2280,1
3,1,0,1600,1
3,1.5,50,1620,1
8,1,0,1480,1
3,1,0,1310,1
5,2,0,2420,1
3,1,0,2630,1
4,2,0,1790,1
3,1,0,1220,1
3,2,530,1230,1
4,1,520,1650,1
3,1,390,1540,1
3,1.5,0,1640,1
3,1,0,1910,1
3,1,0,1910,1
3,1,0,2140,1
3,2,0,2540,1
3,2.5,0,2310,1
3,2,0,2420,1
3,1,0,1610,1
3,1,0,1480,1
3,1,150,1200,1
3,1,0,1160,1
2,1,0,1600,0
3,2,0,2040,1
1,1,0,1240,0
2,2,0,1540,0
4,1,600,3680,1
3,1,190,1390,1
4,1.5,1060,2200,1
3,2,0,2300,1
3,1,0,1630,1
9,2.5,1380,1460,1
3,2,0,1770,1
3,2,0,3500,1
4,1,1790,3160,1
3,1,0,1120,1
4,2,0,2600,1
4,1,0,1740,1
3,1,840,2180,1
3,1,0,1970,1
2,1,0,1350,0
4,2,0,3710,1
6,1,1340,2200,1
4,2,0,1560,1
3,1,0,1240,1
4,2,0,2620,1
3,1,1150,2340,1
3,1,0,1560,1
3,1,0,2040,1
4,2,0,2070,1
4,1,1050,1440,1
5,1,1370,1990,1
3,1,0,1090,1
4,1,2150,3050,1
4,1,500,1880,1
4,1.5,570,1810,1
4,2,0,2240,1
2,1,200,1790,0
4,2,0,1350,1
3,2,0,1430,1
5,1,590,1680,1
5,1,750,2010,1
4,2,0,2170,1
3,1,400,1710,1
3,2,320,1560,1
5,1.5,720,2070,1
3,1,420,1750,1
4,2,810,2870,1
3,1,0,1260,1
3,1.5,0,1640,1
4,1,920,2660,1
3,2,0,4240,1
3,2,330,1480,1
4,3,230,1740,1
4,1,870,1560,1
4,2,1090,2880,1
3,2,0,2280,1
4,1,0,2080,1
3,1,720,1680,1
4,2,0,3040,1
3,1,290,1480,1
1,1,0,1260,0
3,1,1270,1950,1
2,1,0,1360,0
4,2,1320,3140,1
2,1,0,1490,0
5,2,1360,2000,1
4,1,520,1700,1
4,2,0,2590,1
3,2,420,1610,1
3,2,0,2300,1
3,1,170,1650,1
3,1,0,1390,1
3,2,0,2960,1
3,1,0,1620,1
2,1,240,1760,0
4,1.5,770,2460,1
3,1,600,1620,1
3,1.5,0,1280,1
3,1,0,1510,1
4,2,1060,2700,1
4,1,830,2030,1
4,2,0,2300,1
3,2,0,1700,1
2,1,0,1200,0
4,1,810,2660,1
4,1.5,120,1420,1
3,1,460,1510,1
5,1,990,3180,1
5,1.5,500,1950,1
3,1,0,880,1
3,1,0,1404,1
2,3,0,1430,0
3,2,0,1890,1
3,2,0,1440,1
3,1,0,1530,1
2,1,0,1540,0
3,1.5,0,1250,1
3,2,0,1680,1
4,2,0,2305,1
3,2,220,1170,1
3,1,980,2190,1
4,1,200,1270,1
3,1,260,1810,1
4,2,1200,3200,1
4,2,1370,3420,1
3,1,0,1510,1
4,2,1140,2000,1
3,2,300,1220,1
4,2,650,1660,1
4,1.5,590,1800,1
4,1,1020,1310,1
6,1,1500,1400,1
4,1,850,1550,1
4,1.5,810,1860,1
3,1,0,1440,1
3,2,0,2320,1
3,2,0,2570,1
3,1.5,0,800,1
3,1,1440,1800,1
5,1,1210,1310,1
3,2,0,1980,1
4,2,0,2640,1
3,3,0,1340,1
4,2,0,3220,1
3,1,0,1280,1
4,1,980,3490,1
5,1.5,0,1780,1
3,2,0,1610,1
4,1,900,2160,1
3,1.5,0,1170,1
4,1,0,1730,1
3,1,0,1620,1
3,2,0,3530,1
5,1,1500,2380,1
4,3,0,2870,1
3,1,400,2100,1
3,2,0,1590,1
4,1,0,1360,1
3,2,0,1980,1
3,1,0,1520,1
3,1,680,2770,1
2,2,0,1920,0
2,2,290,1880,0
2,1,120,1200,0
2,1.5,0,1530,0
5,1.5,500,1780,1
3,2,70,1800,1
3,2,0,2370,1
4,1,960,2810,1
9,2,850,1960,1
3,1,840,1790,1
3,1,140,1500,1
3,1,0,2760,1
3,3,0,1459,1
6,1,1430,1920,1
4,3,0,1810,1
3,1,0,2250,1
4,1,960,2580,1
4,1,1400,3460,1
4,2,0,3090,1
4,1,400,1580,1
2,1,0,1330,0
4,2,0,2750,1
4,2,0,3160,1
3,2,0,1790,1
3,2,0,2610,1
3,1,0,1270,1
4,1,610,1910,1
3,2,0,1450,1
6,3,1120,1100,1
4,1,960,2210,1
3,2,0,2170,1
5,1,520,1300,1
3,1,0,1320,1
3,1,790,1350,1
4,1,1030,1480,1
4,1,0,1370,1
4,1,820,2310,1
3,1,0,2100,1
3,2,0,1370,1
3,2,960,1830,1
3,2,0,2930,1
4,1,840,4020,1
3,1,0,1690,1
5,1.5,0,1230,1
3,1,0,1670,1
4,2,0,1480,1
3,2,0,1640,1
5,1,1720,2930,1
4,1,850,3560,1
4,1,0,1180,1
3,1,0,1540,1
3,1,560,1690,1
3,1,0,1940,1
3,1,900,2410,1
5,1,960,1870,1
4,2,0,3450,1
4,1,1500,2350,1
3,1,0,1770,1
3,1,530,1800,1
3,1,700,2450,1
3,1,280,1950,1
3,2,0,1280,1
3,2.5,380,1760,1
3,2,0,1090,1
2,1,0,1340,0
3,1,0,1060,1
2,1,0,1040,0
3,2,0,2610,1
3,1,910,2800,1
2,1,0,1210,0
3,1.5,0,1250,1
3,2,910,2520,1
5,1,810,1920,1
3,1,0,2250,1
5,1,1010,2440,1
3,1,0,1850,1
3,2,110,1520,1
3,1,0,1580,1
3,1,0,2050,1
3,2,300,1680,1
3,1.5,0,1350,1
2,2,0,1750,0
2,1,880,1830,0
3,3,0,1520,1
4,2,0,2630,1
3,1,0,1740,1
3,1,0,1600,1
4,2,0,3920,1
3,1,1110,2780,1
4,1,1360,3110,1
3,1,0,1900,1
3,1.5,0,1160,1
3,1,790,2020,1
5,1,1080,2028,1
4,1,1350,2930,1
4,2,0,1090,1
3,1,400,1930,1
4,1,870,1350,1
4,1,0,1870,1
3,2,0,2420,1
3,2,290,1390,1
2,1,890,1720,0
2,1,0,1220,0
3,1,0,1550,1
5,1,1250,1750,1
2,1,0,1480,0
3,1.5,0,1340,1
4,1.5,0,1710,1
4,1.5,1010,2470,1
4,1,1410,2320,1
3,3,0,1550,1
3,1,0,1600,1
4,2,0,2750,1
3,1,980,1480,1
3,1,0,1110,1
3,1,0,1650,1
3,1,0,1650,1
6,2,0,1610,1
3,1,240,1540,1
3,3,0,1280,1
3,1,0,1900,1
4,1.5,600,1620,1
3,1,0,920,1
3,2,530,1610,1
3,2,460,1780,1
2,2,350,1070,0
3,1,0,2220,1
4,2,0,2890,1
2,1,300,1800,0
3,2,0,1690,1
2,1,0,1650,0
2,1,0,1460,0
4,1.5,0,1280,1
2,1,0,2170,0
4,1,1250,2020,1
2,1.5,0,1640,0
4,2,770,2150,1
3,3,0,1250,1
4,1,960,1940,1
3,2,0,1750,1
4,1,0,2370,1
2,1,590,1450,0
3,2,0,2560,1
4,2,0,1930,1
4,1,0,1520,1
3,1,0,1190,1
3,1,0,1180,1
3,1,0,1450,1
4,1,750,2080,1
3,2,0,1560,1
4,1.5,200,1710,1
3,1,0,2370,1
3,2,0,2820,1
3,1,0,1270,1
3,3,0,3040,1
3,2,0,1860,1
3,1,0,1020,1
3,2,0,2030,1
4,2,0,2440,1
3,1,0,2490,1
4,2,0,2790,1
3,1,0,1810,1
3,1,320,1770,1
1,1,0,1590,0
4,2,0,2750,1
3,1.5,700,1500,1
4,1,790,2240,1
4,1,740,1480,1
3,2,150,1370,1
3,1.5,800,1820,1
3,1,0,1700,1
4,1,0,1890,1
4,2,0,3240,1
3,1,120,2040,1
4,1,1680,3200,1
4,2,0,2850,1
3,1,0,1510,1
3,1.5,0,1380,1
2,1,630,1450,0
4,1,2100,2490,1
4,2,0,1760,1
3,2,0,2580,1
3,1.5,0,1680,1
1,2,730,1860,0
5,2,3000,3560,1
4,2,0,3210,1
4,1,1870,2610,1
3,2,0,2010,1
4,2,0,3639,1
2,1,240,1310,0
3,1,0,2000,1
4,2,0,3040,1
2,1,0,1770,0
4,1.5,0,1880,1
3,1,460,1930,1
3,1,0,1760,1
3,2,0,2710,1
2,1,0,2330,0
4,1,800,2100,1
3,1.5,790,2630,1
2,1,480,1790,0
5,2,0,4320,1
3,1,1350,2470,1
3,1,1530,2320,1
4,1,940,2190,1
5,1,1420,2210,1
4,1,1300,1900,1
3,2,0,2330,1
3,1,0,1540,1
4,2,0,2400,1
2,1,810,1300,0
3,2,0,2510,1
3,1,1140,2920,1
4,2,0,1930,1
2,1,0,1620,0
4,2,370,2120,1
3,2,0,3420,1
2,1,0,2300,0
4,2,0,1943,1
1,3,0,1290,0
4,2,0,3150,1
3,1,250,1550,1
2,1,0,1760,0
3,1,0,2110,1
3,2,500,1880,1
3,1,900,1600,1
3,1.5,360,1500,1
3,2,220,1620,1
3,1,0,1160,1
2,1,970,1480,0
4,2,0,2230,1
4,2,940,1260,1
3,1,0,2220,1
3,1,700,1870,1
3,1,770,1140,1
3,2,50,1320,1
3,2,0,3040,1
2,1,0,1810,0
4,1,550,1940,1
2,1,0,1500,0
3,1.5,0,980,1
4,2,1000,2880,1
3,1,750,1510,1
3,1.5,520,1340,1
4,1,900,1540,1
3,2,0,2820,1
3,1,900,1060,1
3,2,0,3630,1
3,2,0,2710,1
3,1,0,1080,1
4,2,0,3770,1
3,1,0,1590,1
3,1,0,1770,1
3,1,0,1450,1
3,2,0,1750,1
3,1,370,1340,1
4,2,0,2600,1
4,2,0,2400,1
4,2,0,2820,1
5,3,0,2710,1
3,2,0,2160,1
2,1,0,1500,0
3,1.5,0,1250,1
4,2,340,2010,1
5,2,0,3425,1
4,1,600,1980,1
4,1,0,2000,1
5,1,0,1200,1
3,1,0,1120,1
4,1,420,1620,1
4,2,0,2980,1
4,2,0,2370,1
3,3,0,1800,1
3,1,0,2150,1
3,1,780,1530,1
4,1,0,1340,1
4,1,1140,2350,1
3,2,0,1640,1
4,1,870,2500,1
2,1,0,1520,0
4,2,0,2641,1
3,1,0,2000,1
3,1.5,0,1350,1
3,1,0,1560,1
4,1,840,1680,1
3,2,0,2550,1
3,1.5,300,1800,1
4,1,1020,2040,1
3,1,480,1000,1
4,2,0,2440,1
3,1,670,1900,1
3,1,0,1230,1
3,1,400,1840,1
4,1,560,1950,1
3,3,0,1430,1
2,1,240,1330,0
3,2,0,2320,1
2,1,1020,2520,0
4,1,950,1800,1
3,1,0,3260,1
3,1,500,1590,1
4,1,360,1590,1
4,1,780,1530,1
4,1,400,1930,1
3,1,0,1360,1
4,1,900,2500,1
3,2,0,1600,1
3,1,930,1000,1
3,2.5,0,2640,1
2,1,0,2180,0
4,2,730,2220,1
2,1,0,1250,0
3,2,680,2250,1
3,2,0,1870,1
3,1.5,0,1760,1
4,1.5,0,1400,1
2,1.5,0,1310,0
3,1,390,1790,1
2,1,0,2000,0
3,1,0,1740,1
3,1.5,0,1240,1
4,1,950,1820,1
3,2,0,1710,1
3,2,250,1450,1
2,1,380,1240,0
2,1,0,1240,0
4,1,1090,1780,1
5,1.5,1010,1620,1
5,1,0,3160,1
5,1,800,2220,1
3,1,710,1520,1
2,1,0,2240,0
2,1.5,1040,2970,0
2,1,120,1540,0
2,1,0,1700,0
3,1,800,1700,1
2,1,0,1300,0
4,1,1050,2290,1
4,1,460,2510,1
3,1,0,1210,1
4,2,0,2410,1
4,1.5,0,1630,1
3,1,200,1240,1
3,2,0,1440,1
3,1,730,1360,1
5,1,1460,2190,1
4,2,0,2460,1
2,1,0,1520,0
3,2,0,2260,1
3,1,490,1550,1
3,1.5,0,1520,1
3,1,1140,1400,1
4,1,740,1540,1
3,2,0,2930,1
6,2,1710,4190,1
3,2,0,2250,1
4,1,0,1910,1
3,1,0,2080,1
3,2,0,1090,1
3,2,0,2114,1
3,1,0,2900,1
3,2,0,1700,1
5,2,700,1340,1
3,1,200,1350,1
4,2,0,1930,1
5,2,1210,2960,1
3,2,140,2080,1
3,2,800,1820,1
3,1,0,1500,1
3,1,620,1130,1
3,2,0,1700,1
6,2,1200,1450,1
3,1.5,1020,3160,1
2,1,550,2250,0
2,1,150,1760,0
4,2,0,2190,1
4,2,500,1310,1
4,2,0,1700,1
4,2,0,3030,1
3,2,230,1410,1
3,1,0,1270,1
4,2,1640,3300,1
4,2,0,1950,1
3,1,0,1650,1
2,1,0,1660,0
3,1,0,1430,1
4,1,1110,2500,1
3,1,0,1600,1
2,1,0,1670,0
4,2,0,2420,1
3,1,510,2000,1
3,1.5,740,1470,1
3,2,0,1850,1
3,1,0,1560,1
4,1,1300,1950,1
3,1,700,1420,1
4,2,720,2770,1
4,2,0,2840,1
3,1,570,2170,1
4,2,0,3720,1
4,2,0,2650,1
4,2,0,1460,1
3,1,180,1410,1
4,2,0,2510,1
4,2,0,2770,1
3,1,0,1950,1
3,2,890,1910,1
4,1,490,2630,1
4,1.5,1180,4230,1
4,2,300,1950,1
3,3,0,1309,1
4,2,0,2680,1
6,1,1000,2090,1
2,1,0,970,0
4,2,0,3210,1
4,1,350,2080,1
4,2,0,1850,1
4,2,0,2010,1
3,1,0,1690,1
3,1.5,0,2160,1
3,1,0,1900,1
2,1,0,2570,0
3,1,360,1510,1
2,1,200,1280,0
1,1,0,1350,0
3,1,450,2640,1
4,1,300,1540,1
6,1.5,0,2120,1
3,1.5,0,2060,1
3,1,150,1280,1
6,1.5,1300,1600,1
3,1,550,2320,1
3,2,0,1310,1
3,2,730,2000,1
4,1,650,1630,1
4,2,0,1910,1
4,2,840,1300,1
3,1,0,1690,1
3,2,0,2320,1
4,1,940,1820,1
4,2,0,2690,1
2,1,0,1220,0
3,2,0,2420,1
3,2,0,1230,1
4,2,0,2710,1
5,1.5,0,1900,1
4,2,1020,2412,1
4,2,920,2350,1
4,1,630,2090,1
4,2,0,2290,1
3,1.5,0,1440,1
4,2,0,3130,1
3,1.5,0,1560,1
4,1,1100,2370,1
4,1.5,0,1470,1
2,1,750,1860,0
4,2,0,3180,1
2,1,0,1420,0
3,2,0,2640,1
4,2,0,3060,1
2,1,0,1430,0
3,1,420,1740,1
4,2,0,2240,1
4,2,0,1830,1
4,2,0,2330,1
3,1,0,2040,1
3,1.5,0,1260,1
3,1,1250,1590,1
5,1,1220,1890,1
5,2,1110,3960,1
4,1,1160,1520,1
2,1,0,1230,0
4,2,690,3330,1
4,1.5,600,1200,1
6,3,0,3270,1
2,2.5,0,1620,0
4,2,0,2517,1
4,1,820,1650,1
5,1.5,330,1910,1
3,1,120,1490,1
3,1,0,1500,1
2,2,0,1360,0
4,2,0,1870,1
2,2,0,1420,0
3,1.5,300,1770,1
3,1,610,1540,1
4,2,0,2430,1
3,1,500,2050,1
4,2,0,2330,1
3,2,0,1500,1
7,1.5,1280,2510,1
3,2,520,1800,1
3,1,0,1240,1
3,1,0,1320,1
4,2,0,2330,1
4,2,0,970,1
3,2,640,2320,1
2,1,420,1280,0
3,1,0,1480,1
4,2,0,2710,1
4,2,1160,3020,1
4,1,0,1220,1
3,1,0,1560,1
4,1,1300,1802,1
4,2,0,2070,1
4,2,0,2310,1
4,1.5,0,3540,1
4,1.5,0,1970,1
2,1,0,1390,0
3,1,0,1350,1
3,2,0,1630,1
3,2,0,1510,1
3,2,0,1830,1
3,1,0,1300,1
3,2,0,2890,1
2,1,0,1230,0
5,2,830,2690,1
3,2,0,2040,1
4,1,910,1910,1
2,1,0,920,0
3,2,160,2060,1
3,1,0,2010,1
2,1,0,1690,0
3,1,240,1280,1
3,1,0,740,1
3,1,680,1540,1
4,1,510,1960,1
3,1,670,1450,1
3,2,540,1690,1
4,1.5,0,2320,1
3,2,350,2860,1
4,2,170,2910,1
5,2,0,3180,1
7,2,0,3040,1
4,1.5,0,1460,1
5,2,0,3220,1
3,1,0,1760,1
3,1,0,1500,1
3,1,0,1920,1
3,1,0,2210,1
5,1,1380,2060,1
2,1,0,1880,0
4,2,0,2430,1
3,1,0,1250,1
3,2,0,2960,1
3,1,0,1510,1
2,2,0,1210,0
4,2,0,2120,1
3,1,0,1700,1
3,2,0,2340,1
4,1,570,1250,1
3,1,700,1880,1
5,1.5,0,2180,1
3,1,0,1140,1
3,2,0,2480,1
5,1,1170,2240,1
3,1,800,1230,1
4,1,1000,2160,1
3,2,0,2340,1
4,1,0,1610,1
3,2,660,1910,1
3,1.5,0,2140,1
4,1.5,0,2430,1
5,1,1500,2170,1
3,1,0,2790,1
4,1.5,0,1740,1
3,2,710,1560,1
3,1,0,1530,1
3,1.5,300,1720,1
3,1.5,0,2820,1
3,1,0,1260,1
3,2,0,1670,1
3,1,0,1210,1
4,1,420,2260,1
3,1,0,1770,1
3,1,0,1620,1
4,1,610,1810,1
3,1,0,1550,1
3,1,0,1160,1
2,1,0,2440,0
3,1,450,1610,1
3,2,0,2540,1
5,2,0,2040,1
2,1,0,1900,0
5,2.5,700,2660,1
2,1,0,1060,0
4,1,760,2280,1
3,1,400,1370,1
3,1,650,2011,1
4,1,1100,1740,1
4,2,0,2580,1
4,1,620,2600,1
3,1,450,1130,1
4,2,0,1830,1
3,1.5,0,1740,1
